Review,Rating
"My father's first iphone❤️
Colour is awesome and so light in weight
It should be available with 256gb
Anyways design and camera is awesome",5.0
iOS is always amazing.,5.0
"Upgraded to the 16 from my 12 and it is a great phone. The Ultramarine Blue looks and feels sooo good. The photos don't do enough justice to this variant.

You definitely do not need to upgrade to this if you are having a 14 or a 15, unless Apple Intelligence is something that you do not want to live without.
Camera is great, though not very sure of the Camera Control thing, cuz all that is pretty much available on-screen UI.

Also, got a great deal on the exchange and bank offer, so zero co...
READ MORE",5.0
Just wow it's worth the price,5.0
"Great Deal and Bank offer on Flipkart.

Camera is excellent but observed heating issue while transferring data and while charging. I used to get same overheating issue in my Iphone 11, heating issue is same as my 4 year old iphone 11. Will post another review after a week of usage.",5.0
good,5.0
Wonderfully lightweight stuff. Worth purchasing. Improved speakers and a more seamless display. Incredibly cozy to use with one hand. Go for Teal colour.,5.0
I like this phone but there is no difference between 15 and 16 and apple Intelligence is also not in phone yet. Overall the phone is good but apple can do better,3.0
Colour is very good also camera placement,5.0
Thank you!,5.0
Upgrading from 12 mini. Awesome product. As usual performance is smooth for normal usage. Battery life is also good considering this form factor. Only downside is Apple Intelligence is not available out of the box. Camera quality is awesome.,5.0
Awesome product,5.0
"This is Apple 😁 The best quality delivered always. When I was installing my backup from my iPad, it became very hot during camera operation. But after the software update, gradually it became normal.

Now it is working well. I also went to Imagine for a checkup and came to know that this is quite normal.

That's it. I hope after the Apple intelligence update we can have some new features and entertainment windows will open for us 😀 Thanks, FLIPKART, for delivering with promise and safety.",5.0
Nice delivery buy it,5.0
Love it,5.0
Fantastic ❤️,5.0
Camera is superb,5.0
More smoothly then 15,5.0
The mobile was Nice and camera was good and clarity was excellent extra button was given was not so impressive the design of the mobile was also good,4.0
"Switched from 12 mini to iPhone 16
- battery 10/10
- camera 10/10
- hold and feel 10/10
- ios 9/10
- heavy tasking 8/10

Should you upgrade?? If you are at iPhone 12/13 then you should . From 14/15 you will minor improvement changes only !",5.0
Good mobile,5.0
Great,5.0
"Awesome product 👌
Battery 🔋👌
Camera 📷👌
Body 🤖💙",5.0
"Upgraded from iPhone 13. As expected, everything is just perfect for my kind of user who spends majority of time with this little beast. Apple never disappoints.. Proud owner of this gem for at least next 2 years before the next upgrade.. ❤️❤️",5.0
Upgraded from iPhone 14 Pro Max loved the new pink colour over all a wonderful product simply loved it,5.0
"Working good ! Macro mode in base variant , basically everything good in camera section but need to improve in software which can be updated later",5.0
Literally i swear best smooth phone and camera is 😘 and performance best multitasking phone👌,5.0
"Awesome Phone. First iPhone bought. Comparing it with my S23 Ultra. Just trying to assess that iPhone and apple ecosystem is for me or not.
All in all , Quite good till now with some minor bugs.",4.0
"Phone is very smooth, battery is far better than 14 which I previously had. IOS 18 is perfectly running with no bugs",5.0
Very nice 👌🏻,5.0
"iphone is ever good product to buy, but need to improve battery backup also.

I think there is no need of camera short cut button, but it's good to open in single click, apple intelligence is ok ok feature.

Is recommendable product you can buy.",5.0
Good,5.0
Good,5.0
Best product,5.0
Good,5.0
"Super, working fine",5.0
The phone is good. It would take time to adopt with ios as i am switching from Android. Let's see how it goes.,5.0
Apple intelligence is a scam. They advertised this phone especially for that and had a lot of us buy this on the promise and yet the apple intelligence is still not coming to india until next year. This is just a waste of money.,2.0
Nice product,4.0
Excellent 👌🏻,5.0
Great deal 👍,5.0
Good,5.0
I am using iPhone since 2020 and this my biggest upgrade xr to iPhone 16 I love the colour. I love the performance. No issues at all so,5.0
Best Product And Good Product Best replace from Android,5.0
Good c,3.0
Good,5.0
Well,5.0
Product is good.,5.0
Veri Good,5.0
Nice product and fast delivery thank you flip,5.0
Its awsome,5.0
Excellent hand set,5.0
"Smoothy operate and awesome look
Data protection amazing and overall performance as per name. Price may be some lower for indians🤙😍",5.0
"iPhone 16 is great in design, performance, battery life is great although charging is slow. Casual photography is great although lacks in detail but night photos are good, videography is great 👍, black colour is excellent.",5.0
V v good,5.0
Awasome,5.0
Good,4.0
Nice products im happy thanks,5.0
Good delivery and mobile is so good. Open box delivery helps to trust and buy from flipkart. really hatsoff,5.0
Best,5.0
